ASSET,ELNATR,ID,LNLSGR,PTXNOINC,STNAME,YEAR
631364,0,SI_1984_AK,397785,4984,Alaska,1984
6606706,0,SI_1984_AL,4603515,-4788,Alabama,1984
7811691,0,SI_1984_AR,5333900,9837,Arkansas,1984
15034723,0,SI_1984_AZ,8303858,18757,Arizona,1984
250595320,0,SI_1984_CA,165566897,-624323,California,1984
13241456,0,SI_1984_CO,9249400,17581,Colorado,1984
29277950,9592,SI_1984_CT,19635216,118408,Connecticut,1984
1445158,77,SI_1984_DE,819423,156,Delaware,1984
75095348,15,SI_1984_FL,47873805,-103841,Florida,1984
13400894,0,SI_1984_GA,9608247,-3407,Georgia,1984
84302,0,SI_1984_GU,51162,849,Guam,1984
3463825,0,SI_1984_HI,2707954,-32416,Hawaii,1984
8780632,0,SI_1984_IA,6090740,-44908,Iowa,1984
1443904,0,SI_1984_ID,863828,3756,Idaho,1984
57585200,0,SI_1984_IL,35173374,-44933,Illinois,1984
12041302,239,SI_1984_IN,8551572,21768,Indiana,1984
12327363,0,SI_1984_KS,7635205,50036,Kansas,1984
7302346,0,SI_1984_KY,5137203,-972,Kentucky,1984
14077139,0,SI_1984_LA,10556204,2239,Louisiana,1984
21727997,17736,SI_1984_MA,13785206,89527,Massachusetts,1984
11471782,1645,SI_1984_MD,8291487,12879,Maryland,1984
4568211,2324,SI_1984_ME,2943700,28526,Maine,1984
26823810,0,SI_1984_MI,14579370,40201,Michigan,1984
13466012,0,SI_1984_MN,7888353,-58715,Minnesota,1984
20088692,0,SI_1984_MO,13457240,-8272,Missouri,1984
3589674,0,SI_1984_MS,2357465,15754,Mississippi,1984
1179122,0,SI_1984_MT,925329,2432,Montana,1984
14070473,0,SI_1984_NC,9938769,60106,North Carolina,1984
3247855,0,SI_1984_ND,2107587,-4532,North Dakota,1984
7629277,0,SI_1984_NE,5591277,281,Nebraska,1984
5626015,3212,SI_1984_NH,4149210,52879,New Hampshire,1984
54223713,2736,SI_1984_NJ,31840617,94462,New Jersey,1984
4297854,0,SI_1984_NM,3051630,914,New Mexico,1984
3143500,0,SI_1984_NV,1967509,4123,Nevada,1984
130433844,7045,SI_1984_NY,73246550,-650928,New York,1984
44354753,0,SI_1984_OH,31656148,31628,Ohio,1984
9267781,0,SI_1984_OK,6800000,-15363,Oklahoma,1984
9440008,31,SI_1984_OR,5306352,-46779,Oregon,1984
51057749,7666,SI_1984_PA,32927692,95447,Pennsylvania,1984
4530565,0,SI_1984_PR,1887944,-6343,Puerto Rico,1984
5465311,1052,SI_1984_RI,4106054,16405,Rhode Island,1984
9091544,0,SI_1984_SC,6555284,4910,South Carolina,1984
1354027,0,SI_1984_SD,932899,562,South Dakota,1984
9511409,0,SI_1984_TN,6382351,34709,Tennessee,1984
77064272,0,SI_1984_TX,49986103,232975,Texas,1984
6288155,0,SI_1984_UT,4403044,-16953,Utah,1984
19360951,0,SI_1984_VA,12754326,5630,Virginia,1984
0,0,SI_1984_VI,0,0,Virgin Islands Of The U.S.,1984
1338458,1152,SI_1984_VT,1082461,4719,Vermont,1984
17958651,13433,SI_1984_WA,12930310,39309,Washington,1984
14954594,64,SI_1984_WI,10828814,78245,Wisconsin,1984
2210070,0,SI_1984_WV,1532871,596,West Virginia,1984
1265410,0,SI_1984_WY,889413,-2849,Wyoming,1984
679940,0,SI_1985_AK,428732,433,Alaska,1985
7640462,0,SI_1985_AL,5161650,4970,Alabama,1985
8303157,0,SI_1985_AR,5829135,-17483,Arkansas,1985
18615131,0,SI_1985_AZ,11314325,40523,Arizona,1985
272672719,0,SI_1985_CA,181462005,434912,California,1985
14146875,0,SI_1985_CO,9980210,25039,Colorado,1985
31809255,20292,SI_1985_CT,22618244,244273,Connecticut,1985
1560925,12,SI_1985_DE,946764,2692,Delaware,1985
80767253,0,SI_1985_FL,53496182,-271135,Florida,1985
14638217,0,SI_1985_GA,10499314,62340,Georgia,1985
82599,0,SI_1985_GU,57516,506,Guam,1985
3561897,0,SI_1985_HI,2584903,8627,Hawaii,1985
8991044,0,SI_1985_IA,6240679,-33547,Iowa,1985
1549289,0,SI_1985_ID,924246,-5329,Idaho,1985
59817855,0,SI_1985_IL,38217902,59654,Illinois,1985
12412575,512,SI_1985_IN,9075042,70993,Indiana,1985
14938417,0,SI_1985_KS,8479898,43136,Kansas,1985
7403841,0,SI_1985_KY,5061927,-2480,Kentucky,1985
14560278,0,SI_1985_LA,10978275,-232064,Louisiana,1985
37969732,21517,SI_1985_MA,25120055,497330,Massachusetts,1985
17714296,2102,SI_1985_MD,12834693,18046,Maryland,1985
4981229,4071,SI_1985_ME,3281112,49123,Maine,1985
30707159,0,SI_1985_MI,15695257,50429,Michigan,1985
14315900,0,SI_1985_MN,8875224,-108987,Minnesota,1985
21141303,0,SI_1985_MO,14183798,-10535,Missouri,1985
3954187,0,SI_1985_MS,2611635,18976,Mississippi,1985
1185208,0,SI_1985_MT,894567,5936,Montana,1985
17186083,0,SI_1985_NC,12646594,123224,North Carolina,1985
