year,qtr,state_fips,low,high,FIPS,State,low_diff,YearQuarter,profitability,asset_quality,profitability_diff,assetquality_diff
2005,2,1,1.5,1.6,01,alabama,0.0,2005Q2,0.004663051204583427,0.004322724757039024,0.0009348551086946363,0.00010918333119273003
2005,3,1,1.4,1.5,01,alabama,-0.10000000000000009,2005Q3,0.004663051204583427,0.004322724757039024,0.0009348551086946363,0.00010918333119273003
2005,4,1,1.4,1.5,01,alabama,0.0,2005Q4,0.004663051204583427,0.004322724757039024,0.0009348551086946363,0.00010918333119273003
2006,1,1,1.4,1.5,01,alabama,0.0,2006Q1,0.004513986476391731,0.003980247460976839,-0.00014906472819169615,-0.00034247729606218507
2006,2,1,1.4,1.5,01,alabama,0.0,2006Q2,0.004513986476391731,0.003980247460976839,-0.00014906472819169615,-0.00034247729606218507
2006,3,1,1.5,1.6,01,alabama,0.10000000000000009,2006Q3,0.004513986476391731,0.003980247460976839,-0.00014906472819169615,-0.00034247729606218507
2006,4,1,1.5,1.6,01,alabama,0.0,2006Q4,0.004513986476391731,0.003980247460976839,-0.00014906472819169615,-0.00034247729606218507
2007,1,1,1.5,1.6,01,alabama,0.0,2007Q1,0.003121125081272861,0.0036221818741372968,-0.00139286139511887,-0.00035806558683954253
2007,2,1,1.5,1.6,01,alabama,0.0,2007Q2,0.003121125081272861,0.0036221818741372968,-0.00139286139511887,-0.00035806558683954253
2007,3,1,1.5,1.6,01,alabama,0.0,2007Q3,0.003121125081272861,0.0036221818741372968,-0.00139286139511887,-0.00035806558683954253
2007,4,1,1.5,1.6,01,alabama,0.0,2007Q4,0.003121125081272861,0.0036221818741372968,-0.00139286139511887,-0.00035806558683954253
2008,1,1,1.5,1.6,01,alabama,0.0,2008Q1,-0.039227974348370505,0.016282845727158452,-0.042349099429643364,0.012660663853021156
2008,2,1,1.6,1.72,01,alabama,0.10000000000000009,2008Q2,-0.039227974348370505,0.016282845727158452,-0.042349099429643364,0.012660663853021156
2008,3,1,1.6,1.72,01,alabama,0.0,2008Q3,-0.039227974348370505,0.016282845727158452,-0.042349099429643364,0.012660663853021156
2008,4,1,1.6,1.72,01,alabama,0.0,2008Q4,-0.039227974348370505,0.016282845727158452,-0.042349099429643364,0.012660663853021156
2009,1,1,1.6,1.72,01,alabama,0.0,2009Q1,-0.00703736560746117,0.009609295016785315,0.032190608740909336,-0.006673550710373137
2009,2,1,1.6,1.72,01,alabama,0.0,2009Q2,-0.00703736560746117,0.009609295016785315,0.032190608740909336,-0.006673550710373137
2009,3,1,1.6,1.72,01,alabama,0.0,2009Q3,-0.00703736560746117,0.009609295016785315,0.032190608740909336,-0.006673550710373137
2009,4,1,1.6,1.72,01,alabama,0.0,2009Q4,-0.00703736560746117,0.009609295016785315,0.032190608740909336,-0.006673550710373137
2010,1,1,1.6,1.72,01,alabama,0.0,2010Q1,-0.0013704084851556319,0.010453232135926516,0.005666957122305538,0.0008439371191412016
2010,2,1,1.6,1.72,01,alabama,0.0,2010Q2,-0.0013704084851556319,0.010453232135926516,0.005666957122305538,0.0008439371191412016
2010,3,1,1.5,1.6,01,alabama,-0.10000000000000009,2010Q3,-0.0013704084851556319,0.010453232135926516,0.005666957122305538,0.0008439371191412016
2010,4,1,1.5,1.6,01,alabama,0.0,2010Q4,-0.0013704084851556319,0.010453232135926516,0.005666957122305538,0.0008439371191412016
2011,1,1,1.6,1.72,01,alabama,0.10000000000000009,2011Q1,0.0015348171133033838,0.007832537175170927,0.002905225598459016,-0.0026206949607555895
2011,2,1,1.5,1.6,01,alabama,-0.10000000000000009,2011Q2,0.0015348171133033838,0.007832537175170927,0.002905225598459016,-0.0026206949607555895
2011,3,1,1.5,1.6,01,alabama,0.0,2011Q3,0.0015348171133033838,0.007832537175170927,0.002905225598459016,-0.0026206949607555895
2011,4,1,1.5,1.6,01,alabama,0.0,2011Q4,0.0015348171133033838,0.007832537175170927,0.002905225598459016,-0.0026206949607555895
2012,1,1,1.4,1.5,01,alabama,-0.10000000000000009,2012Q1,0.0013601060923905048,0.009549290167887909,-0.000174711020912879,0.0017167529927169817
2012,2,1,1.4,1.5,01,alabama,0.0,2012Q2,0.0013601060923905048,0.009549290167887909,-0.000174711020912879,0.0017167529927169817
2012,3,1,1.4,1.5,01,alabama,0.0,2012Q3,0.0013601060923905048,0.009549290167887909,-0.000174711020912879,0.0017167529927169817
2012,4,1,1.4,1.5,01,alabama,0.0,2012Q4,0.0013601060923905048,0.009549290167887909,-0.000174711020912879,0.0017167529927169817
