"month_time","composite_rates","Date","composite_rates_diff"
"Jan-90",7.95,1990-01-01,NA
"Feb-90",7.8,1990-02-01,-0.15
"Mar-90",7.95,1990-03-01,0.15
"Apr-90",8.14,1990-04-01,0.19
"May-90",7.77,1990-05-01,-0.370000000000001
"Jun-90",7.67,1990-06-01,-0.0999999999999996
"Jul-90",7.53,1990-07-01,-0.14
"Aug-90",7.55,1990-08-01,0.0199999999999996
"Sep-90",7.51,1990-09-01,-0.04
"Oct-90",7.34,1990-10-01,-0.17
"Nov-90",7.19,1990-11-01,-0.149999999999999
"Dec-90",6.76,1990-12-01,-0.430000000000001
"Jan-91",6.39,1991-01-01,-0.37
"Feb-91",6.1,1991-02-01,-0.29
"Mar-91",5.76,1991-03-01,-0.34
"Apr-91",5.56,1991-04-01,-0.2
"May-91",5.54,1991-05-01,-0.0199999999999996
"Jun-91",5.53,1991-06-01,-0.00999999999999979
"Jul-91",5.45,1991-07-01,-0.0800000000000001
"Aug-91",5.21,1991-08-01,-0.24
"Sep-91",5.02,1991-09-01,-0.19
"Oct-91",4.8,1991-10-01,-0.22
"Nov-91",4.41,1991-11-01,-0.39
"Dec-91",3.75,1991-12-01,-0.66
"Jan-92",3.6,1992-01-01,-0.15
"Feb-92",3.53,1992-02-01,-0.0700000000000003
"Mar-92",3.53,1992-03-01,0
"Apr-92",3.27,1992-04-01,-0.26
"May-92",3.29,1992-05-01,0.02
"Jun-92",3.42,1992-06-01,0.13
"Jul-92",3.1,1992-07-01,-0.32
"Aug-92",3.08,1992-08-01,-0.02
"Sep-92",2.85,1992-09-01,-0.23
"Oct-92",2.95,1992-10-01,0.1
"Nov-92",2.98,1992-11-01,0.0299999999999998
"Dec-92",2.76,1992-12-01,-0.22
"Jan-93",2.82,1993-01-01,0.06
"Feb-93",2.87,1993-02-01,0.0500000000000003
"Mar-93",2.93,1993-03-01,0.06
"Apr-93",2.91,1993-04-01,-0.02
"May-93",3.1,1993-05-01,0.19
"Jun-93",3.14,1993-06-01,0.04
"Jul-93",3.08,1993-07-01,-0.06
"Aug-93",3.09,1993-08-01,0.00999999999999979
"Sep-93",3.04,1993-09-01,-0.0499999999999998
"Oct-93",3.11,1993-10-01,0.0699999999999998
"Nov-93",3.13,1993-11-01,0.02
"Dec-93",3.13,1993-12-01,0
"Jan-94",3.05,1994-01-01,-0.0800000000000001
"Feb-94",3.43,1994-02-01,0.38
"Mar-94",3.69,1994-03-01,0.26
"Apr-94",4.07,1994-04-01,0.38
"May-94",4.43,1994-05-01,0.359999999999999
"Jun-94",4.68,1994-06-01,0.25
"Jul-94",4.7,1994-07-01,0.0200000000000005
"Aug-94",4.74,1994-08-01,0.04
"Sep-94",5.08,1994-09-01,0.34
"Oct-94",5.27,1994-10-01,0.19
"Nov-94",5.97,1994-11-01,0.7
"Dec-94",7.12,1994-12-01,1.15
"Jan-95",6.32,1995-01-01,-0.8
"Feb-95",5.99,1995-02-01,-0.33
"Mar-95",6,1995-03-01,0.00999999999999979
"Apr-95",5.93,1995-04-01,-0.0700000000000003
"May-95",5.79,1995-05-01,-0.14
"Jun-95",5.68,1995-06-01,-0.11
"Jul-95",5.54,1995-07-01,-0.14
"Aug-95",5.49,1995-08-01,-0.0499999999999998
"Sep-95",5.54,1995-09-01,0.0499999999999998
"Oct-95",5.49,1995-10-01,-0.0499999999999998
"Nov-95",5.42,1995-11-01,-0.0700000000000003
"Dec-95",5.33,1995-12-01,-0.0899999999999999
"Jan-96",5.03,1996-01-01,-0.3
"Feb-96",5.05,1996-02-01,0.0199999999999996
"Mar-96",5.15,1996-03-01,0.100000000000001
"Apr-96",5.19,1996-04-01,0.04
"May-96",5.15,1996-05-01,-0.04
"Jun-96",5.26,1996-06-01,0.109999999999999
"Jul-96",5.39,1996-07-01,0.13
"Aug-96",5.28,1996-08-01,-0.109999999999999
"Sep-96",5.29,1996-09-01,0.00999999999999979
"Oct-96",5.21,1996-10-01,-0.0800000000000001
"Nov-96",5.2,1996-11-01,-0.00999999999999979
"Dec-96",5.22,1996-12-01,0.0199999999999996
"Jan-97",5.23,1997-01-01,0.0100000000000007
"Feb-97",5.27,1997-02-01,0.0399999999999991
"Mar-97",5.49,1997-03-01,0.220000000000001
"Apr-97",5.46,1997-04-01,-0.0300000000000002
"May-97",5.35,1997-05-01,-0.11
"Jun-97",5.32,1997-06-01,-0.0299999999999994
"Jul-97",5.35,1997-07-01,0.0299999999999994
"Aug-97",5.4,1997-08-01,0.0500000000000007
"Sep-97",5.53,1997-09-01,0.13
"Oct-97",5.38,1997-10-01,-0.15
"Nov-97",5.46,1997-11-01,0.0800000000000001
"Dec-97",5.42,1997-12-01,-0.04
"Jan-98",5.36,1998-01-01,-0.0599999999999996
"Feb-98",5.41,1998-02-01,0.0499999999999998
"Mar-98",5.37,1998-03-01,-0.04
"Apr-98",5.33,1998-04-01,-0.04
"May-98",5.41,1998-05-01,0.0800000000000001
"Jun-98",5.29,1998-06-01,-0.12
"Jul-98",5.23,1998-07-01,-0.0599999999999996
"Aug-98",5.13,1998-08-01,-0.100000000000001
"Sep-98",4.85,1998-09-01,-0.28
"Oct-98",4.73,1998-10-01,-0.119999999999999
"Nov-98",4.74,1998-11-01,0.00999999999999979
"Dec-98",4.69,1998-12-01,-0.0499999999999998
"Jan-99",4.76,1999-01-01,0.0699999999999994
"Feb-99",4.85,1999-02-01,0.0899999999999999
"Mar-99",4.73,1999-03-01,-0.119999999999999
"Apr-99",4.74,1999-04-01,0.00999999999999979
"May-99",4.74,1999-05-01,0
"Jun-99",4.93,1999-06-01,0.19
"Jul-99",4.93,1999-07-01,0
"Aug-99",5.19,1999-08-01,0.260000000000001
