"Year","Period","labor force participation rate","employment-population ratio","labor force","employment","unemployment","unemployment rate","State","Date"
1976,"Jan",57.1,53.3,1486509,1387606,98903,6.7,"alabama",1976-01-01
1976,"Feb",56.9,53.2,1485944,1387267,98677,6.6,"alabama",1976-02-01
1976,"Mar",56.8,53.1,1486172,1388303,97869,6.6,"alabama",1976-03-01
1976,"Apr",56.8,53.1,1488773,1392012,96761,6.5,"alabama",1976-04-01
1976,"May",56.8,53.2,1492486,1396244,96242,6.4,"alabama",1976-05-01
1976,"Jun",56.9,53.2,1496780,1400036,96744,6.5,"alabama",1976-06-01
1976,"Jul",56.9,53.2,1501147,1402922,98225,6.5,"alabama",1976-07-01
1976,"Aug",57,53.2,1505489,1405216,100273,6.7,"alabama",1976-08-01
1976,"Sep",57.1,53.2,1510086,1407784,102302,6.8,"alabama",1976-09-01
1976,"Oct",57.2,53.2,1514825,1410640,104185,6.9,"alabama",1976-10-01
1976,"Nov",57.3,53.3,1519978,1413890,106088,7,"alabama",1976-11-01
1976,"Dec",57.4,53.3,1525730,1417615,108115,7.1,"alabama",1976-12-01
1977,"Jan",57.5,53.4,1532201,1421845,110356,7.2,"alabama",1977-01-01
1977,"Feb",57.7,53.5,1539135,1426532,112603,7.3,"alabama",1977-02-01
1977,"Mar",57.8,53.6,1546016,1431490,114526,7.4,"alabama",1977-03-01
1977,"Apr",58,53.7,1552703,1436852,115851,7.5,"alabama",1977-04-01
1977,"May",58.1,53.8,1558812,1442572,116240,7.5,"alabama",1977-05-01
1977,"Jun",58.2,53.9,1563985,1448365,115620,7.4,"alabama",1977-06-01
1977,"Jul",58.3,54,1568208,1454156,114052,7.3,"alabama",1977-07-01
1977,"Aug",58.3,54.2,1571877,1460000,111877,7.1,"alabama",1977-08-01
1977,"Sep",58.3,54.3,1575906,1466428,109478,6.9,"alabama",1977-09-01
1977,"Oct",58.4,54.5,1580735,1473550,107185,6.8,"alabama",1977-10-01
1977,"Nov",58.5,54.6,1586077,1480792,105285,6.6,"alabama",1977-11-01
1977,"Dec",58.6,54.8,1591413,1487498,103915,6.5,"alabama",1977-12-01
1978,"Jan",58.7,54.9,1596485,1493599,102886,6.4,"alabama",1978-01-01
1978,"Feb",58.8,55,1601088,1499063,102025,6.4,"alabama",1978-02-01
1978,"Mar",58.8,55.1,1605024,1503777,101247,6.3,"alabama",1978-03-01
1978,"Apr",58.8,55.1,1608483,1507751,100732,6.3,"alabama",1978-04-01
1978,"May",58.9,55.2,1611991,1511281,100710,6.2,"alabama",1978-05-01
1978,"Jun",58.9,55.2,1616037,1514811,101226,6.3,"alabama",1978-06-01
1978,"Jul",59,55.2,1620850,1518283,102567,6.3,"alabama",1978-07-01
1978,"Aug",59.1,55.3,1625966,1521361,104605,6.4,"alabama",1978-08-01
1978,"Sep",59.2,55.3,1630633,1523811,106822,6.6,"alabama",1978-09-01
1978,"Oct",59.2,55.3,1634708,1525835,108873,6.7,"alabama",1978-10-01
1978,"Nov",59.3,55.3,1638396,1527824,110572,6.7,"alabama",1978-11-01
1978,"Dec",59.3,55.3,1641554,1529624,111930,6.8,"alabama",1978-12-01
1979,"Jan",59.3,55.2,1643983,1530840,113143,6.9,"alabama",1979-01-01
1979,"Feb",59.3,55.2,1645938,1531741,114197,6.9,"alabama",1979-02-01
1979,"Mar",59.3,55.2,1648079,1532857,115222,7,"alabama",1979-03-01
1979,"Apr",59.3,55.1,1650608,1534208,116400,7.1,"alabama",1979-04-01
1979,"May",59.4,55.1,1653751,1535905,117846,7.1,"alabama",1979-05-01
1979,"Jun",59.4,55.1,1657258,1537704,119554,7.2,"alabama",1979-06-01
1979,"Jul",59.5,55.1,1660593,1539516,121077,7.3,"alabama",1979-07-01
1979,"Aug",59.5,55.1,1663797,1541423,122374,7.4,"alabama",1979-08-01
1979,"Sep",59.6,55.1,1666849,1543273,123576,7.4,"alabama",1979-09-01
1979,"Oct",59.6,55.1,1669295,1544853,124442,7.5,"alabama",1979-10-01
1979,"Nov",59.5,55.1,1670817,1545791,125026,7.5,"alabama",1979-11-01
1979,"Dec",59.5,55,1671696,1545849,125847,7.5,"alabama",1979-12-01
1980,"Jan",59.5,54.9,1672263,1544837,127426,7.6,"alabama",1980-01-01
1980,"Feb",59.4,54.8,1672484,1542399,130085,7.8,"alabama",1980-02-01
1980,"Mar",59.4,54.6,1672440,1538590,133850,8,"alabama",1980-03-01
1980,"Apr",59.3,54.4,1672375,1534273,138102,8.3,"alabama",1980-04-01
1980,"May",59.2,54.2,1672452,1530174,142278,8.5,"alabama",1980-05-01
1980,"Jun",59.2,54,1673026,1527020,146006,8.7,"alabama",1980-06-01
1980,"Jul",59.2,53.9,1674127,1525098,149029,8.9,"alabama",1980-07-01
1980,"Aug",59.2,53.8,1675268,1523962,151306,9,"alabama",1980-08-01
1980,"Sep",59.1,53.7,1676255,1522970,153285,9.1,"alabama",1980-09-01
1980,"Oct",59.1,53.6,1677166,1521620,155546,9.3,"alabama",1980-10-01
1980,"Nov",59.1,53.5,1678394,1520302,158092,9.4,"alabama",1980-11-01
1980,"Dec",59.1,53.5,1680482,1519752,160730,9.6,"alabama",1980-12-01
1981,"Jan",59.2,53.4,1683459,1520021,163438,9.7,"alabama",1981-01-01
1981,"Feb",59.2,53.4,1686930,1520733,166197,9.9,"alabama",1981-02-01
1981,"Mar",59.3,53.4,1690031,1521340,168691,10,"alabama",1981-03-01
1981,"Apr",59.3,53.3,1691543,1520663,170880,10.1,"alabama",1981-04-01
1981,"May",59.2,53.1,1690744,1517706,173038,10.2,"alabama",1981-05-01
1981,"Jun",59.1,52.9,1687922,1512333,175589,10.4,"alabama",1981-06-01
1981,"Jul",58.9,52.6,1684183,1505000,179183,10.6,"alabama",1981-07-01
1981,"Aug",58.7,52.3,1680930,1496959,183971,10.9,"alabama",1981-08-01
1981,"Sep",58.6,52,1679326,1489709,189617,11.3,"alabama",1981-09-01
1981,"Oct",58.6,51.8,1680052,1484248,195804,11.7,"alabama",1981-10-01
1981,"Nov",58.7,51.6,1682571,1480413,202158,12,"alabama",1981-11-01
1981,"Dec",58.8,51.5,1686197,1477971,208226,12.3,"alabama",1981-12-01
1982,"Jan",58.9,51.4,1690468,1476927,213541,12.6,"alabama",1982-01-01
1982,"Feb",59,51.4,1694934,1476669,218265,12.9,"alabama",1982-02-01
1982,"Mar",59.1,51.4,1699215,1476398,222817,13.1,"alabama",1982-03-01
1982,"Apr",59.2,51.3,1703495,1476091,227404,13.3,"alabama",1982-04-01
1982,"May",59.4,51.3,1707920,1476086,231834,13.6,"alabama",1982-05-01
1982,"Jun",59.5,51.3,1712473,1476457,236016,13.8,"alabama",1982-06-01
1982,"Jul",59.6,51.3,1717093,1477091,240002,14,"alabama",1982-07-01
1982,"Aug",59.7,51.3,1721385,1477542,243843,14.2,"alabama",1982-08-01
1982,"Sep",59.8,51.2,1724783,1477316,247467,14.3,"alabama",1982-09-01
1982,"Oct",59.9,51.2,1727062,1476472,250590,14.5,"alabama",1982-10-01
1982,"Nov",59.9,51.1,1728509,1475606,252903,14.6,"alabama",1982-11-01
1982,"Dec",59.9,51.1,1728721,1474738,253983,14.7,"alabama",1982-12-01
1983,"Jan",59.8,51,1727841,1473896,253945,14.7,"alabama",1983-01-01
1983,"Feb",59.8,51,1727233,1474404,252829,14.6,"alabama",1983-02-01
1983,"Mar",59.8,51.1,1728245,1477356,250889,14.5,"alabama",1983-03-01
1983,"Apr",59.9,51.3,1731922,1483041,248881,14.4,"alabama",1983-04-01
1983,"May",60.1,51.5,1738252,1491018,247234,14.2,"alabama",1983-05-01
1983,"Jun",60.3,51.8,1746135,1500403,245732,14.1,"alabama",1983-06-01
1983,"Jul",60.6,52.1,1754346,1510508,243838,13.9,"alabama",1983-07-01
1983,"Aug",60.8,52.5,1761712,1520495,241217,13.7,"alabama",1983-08-01
1983,"Sep",60.9,52.7,1767201,1529455,237746,13.5,"alabama",1983-09-01
