State,YearQuarter,employment_growth
alabama,1976 Q1,0.00025124320682995416
alabama,1976 Q2,0.002809222784621109
alabama,1976 Q3,0.001841337080158656
alabama,1976 Q4,0.0023224048788111538
alabama,1977 Q1,0.0032519559387991968
alabama,1977 Q2,0.00391413883533868
alabama,1977 Q3,0.0041399557666025695
alabama,1977 Q4,0.004766672972204826
alabama,1978 Q1,0.0036348089632701384
alabama,1978 Q2,0.0024398937556169287
alabama,1978 Q3,0.0019765751036338783
alabama,1978 Q4,0.001269981145330427
alabama,1979 Q1,0.0007040383550592407
alabama,1979 Q2,0.001052921774271261
alabama,1979 Q3,0.0012057569745375456
alabama,1979 Q4,0.0005561656257062619
alabama,1980 Q1,-0.001567448691107291
alabama,1980 Q2,-0.0025128809468057955
alabama,1980 Q3,-0.0008848218969579325
alabama,1980 Q4,-0.0007047927292932096
alabama,1981 Q1,0.00034818892176698607
alabama,1981 Q2,-0.0019765867778947697
alabama,1981 Q3,-0.005011602998046853
alabama,1981 Q4,-0.0026330521045421587
alabama,1982 Q1,-0.000354860665468415
alabama,1982 Q2,1.3338178071771919e-05
alabama,1982 Q3,0.0001939264918023135
alabama,1982 Q4,-0.0005820241826779796
alabama,1983 Q1,0.0005919602738051107
alabama,1983 Q2,0.005173753638204233
alabama,1983 Q3,0.006413119330493784
alabama,1983 Q4,0.0035894123107049016
alabama,1984 Q1,0.0030811158883490286
alabama,1984 Q2,0.0030633206730012277
alabama,1984 Q3,0.002009683136771967
alabama,1984 Q4,0.003427751310492777
alabama,1985 Q1,0.0024875132893444154
alabama,1985 Q2,0.0005031111103523204
alabama,1985 Q3,0.002214346337397588
alabama,1985 Q4,0.00267687390281098
alabama,1986 Q1,0.0020301032845283875
alabama,1986 Q2,0.002631348365920827
alabama,1986 Q3,0.0011634043358867974
alabama,1986 Q4,0.0005400671652060485
alabama,1987 Q1,0.002441493266979696
alabama,1987 Q2,0.0029088068275704426
alabama,1987 Q3,0.002018099370509674
alabama,1987 Q4,0.001515225024531312
alabama,1988 Q1,-2.671878963026823e-05
alabama,1988 Q2,-0.00016372037060078762
alabama,1988 Q3,0.0016759052094090048
alabama,1988 Q4,0.0020394688903206948
alabama,1989 Q1,0.0014907881856559186
alabama,1989 Q2,0.0011752535035283913
alabama,1989 Q3,0.0018629838988007592
alabama,1989 Q4,0.002097071515252328
alabama,1990 Q1,0.0015254480598458908
alabama,1990 Q2,0.00011412685037222776
alabama,1990 Q3,-0.00039610446693771895
alabama,1990 Q4,0.0003617761660658451
alabama,1991 Q1,0.0008039180456932785
alabama,1991 Q2,0.0002881175913740375
alabama,1991 Q3,0.00011591650141854852
alabama,1991 Q4,0.000515421636546091
alabama,1992 Q1,0.0017020538556790459
alabama,1992 Q2,0.003760362965087971
alabama,1992 Q3,0.0023265427127741787
alabama,1992 Q4,0.0007378393181998177
alabama,1993 Q1,0.0017053198763960313
alabama,1993 Q2,0.001984580420939149
alabama,1993 Q3,0.001101118779787506
alabama,1993 Q4,0.0018813641025892114
alabama,1994 Q1,0.002902329691635656
alabama,1994 Q2,0.002936538400328962
alabama,1994 Q3,0.003977426951915349
alabama,1994 Q4,0.0028753294024261855
alabama,1995 Q1,0.00027966016360958523
alabama,1995 Q2,-0.00026625350665783937
alabama,1995 Q3,0.0006597718773987774
alabama,1995 Q4,0.0009348487779747098
alabama,1996 Q1,0.0013028852708589778
alabama,1996 Q2,0.0033279020834606023
alabama,1996 Q3,0.003243972293084966
alabama,1996 Q4,0.0011931343738095606
alabama,1997 Q1,0.0011508399694964606
alabama,1997 Q2,0.0014844786985258966
alabama,1997 Q3,0.0017401520179030812
alabama,1997 Q4,0.001648542523086401
alabama,1998 Q1,0.0006609243895202196
alabama,1998 Q2,-0.00033710733944096
alabama,1998 Q3,-0.00017077562255451983
alabama,1998 Q4,0.0006282815765802733
alabama,1999 Q1,0.00018941765764438992
alabama,1999 Q2,-1.334929251406436e-05
alabama,1999 Q3,0.00011184243822589164
alabama,1999 Q4,0.0007044358645977855
alabama,2000 Q1,0.0004096511419996081
alabama,2000 Q2,-0.000583959879492261
alabama,2000 Q3,-0.0010852087876908427
alabama,2000 Q4,-0.00010741272740655283
alabama,2001 Q1,-0.0006285730827686464
alabama,2001 Q2,-0.0026325898660747673
alabama,2001 Q3,-0.0023928745638420734
alabama,2001 Q4,-0.0021404014120629533
alabama,2002 Q1,-0.0010867406039853182
alabama,2002 Q2,0.0006512557856534299
alabama,2002 Q3,0.0013370462176116593
alabama,2002 Q4,0.0006612259900790433
alabama,2003 Q1,0.0005447328326599887
alabama,2003 Q2,4.3618623007946056e-06
alabama,2003 Q3,0.00038581098880437664
alabama,2003 Q4,0.0012551023628316245
alabama,2004 Q1,0.001203299746767102
alabama,2004 Q2,0.0013020289929668305
alabama,2004 Q3,-5.482514463295285e-05
alabama,2004 Q4,6.80829693484597e-05
alabama,2005 Q1,0.0015142163609742632
alabama,2005 Q2,0.0023549319723161766
alabama,2005 Q3,0.0016314703868879714
alabama,2005 Q4,0.0008672465250610569
alabama,2006 Q1,0.0015239250720429827
alabama,2006 Q2,0.0019400084134737483
alabama,2006 Q3,0.002578709977988295
alabama,2006 Q4,0.0016530363768951783
alabama,2007 Q1,-0.0008341488011250527
alabama,2007 Q2,-0.0012756723501206046
alabama,2007 Q3,-0.00015506053576382536
alabama,2007 Q4,-0.00038676535963377834
alabama,2008 Q1,-0.0016566131374586106
alabama,2008 Q2,-0.002778104740295606
alabama,2008 Q3,-0.003697283264545881
alabama,2008 Q4,-0.005223551196319491
alabama,2009 Q1,-0.005603857352448764
alabama,2009 Q2,-0.004296197257536345
alabama,2009 Q3,-0.004685205650612108
alabama,2009 Q4,-0.0018496313533482207
alabama,2010 Q1,0.0008379469354867405
alabama,2010 Q2,0.013280168024221975
alabama,2010 Q3,0.0004457520289828561
alabama,2010 Q4,-0.0005392555955087511
alabama,2011 Q1,0.0001755488305460832
alabama,2011 Q2,-0.0007376157178468438
alabama,2011 Q3,0.0002242502522242044
alabama,2011 Q4,0.0005626295431860514
alabama,2012 Q1,-0.0006733888377907412
alabama,2012 Q2,0.000726801709806916
alabama,2012 Q3,0.0022610276771376134
alabama,2012 Q4,0.0009068899723150281
alabama,2013 Q1,-0.0006417266423269785
alabama,2013 Q2,0.0004010964041856191
alabama,2013 Q3,-0.000812145065342588
alabama,2013 Q4,-0.0007679846427277592
alabama,2014 Q1,0.0006424416706480122
alabama,2014 Q2,-2.800200179213045e-06
alabama,2014 Q3,0.000551432493567594
alabama,2014 Q4,0.0010573217325775541
alabama,2015 Q1,0.001402701585825265
alabama,2015 Q2,0.0002077403129636298
alabama,2015 Q3,-8.471968419802393e-05
alabama,2015 Q4,0.001723336007580493
alabama,2016 Q1,0.0018943130922348672
alabama,2016 Q2,0.001073689562859433
alabama,2016 Q3,0.0010515807944058893
alabama,2016 Q4,0.0011604992246866768
alabama,2017 Q1,0.0021315709990311995
alabama,2017 Q2,0.0020401007101233195
alabama,2017 Q3,0.0013662180041190315
alabama,2017 Q4,0.0009379089039847077
alabama,2018 Q1,0.002284588918360475
alabama,2018 Q2,0.0016934933106862449
alabama,2018 Q3,0.0009822811016408917
alabama,2018 Q4,0.0021534358035055026
alabama,2019 Q1,0.0023226391968020157
alabama,2019 Q2,0.001527720125216477
alabama,2019 Q3,0.0009596586650540603
alabama,2019 Q4,-0.0007921975393342754
alabama,2020 Q1,-0.003665924271127293
alabama,2020 Q2,-0.011710551437722408
alabama,2020 Q3,0.012101203572834581
alabama,2020 Q4,0.0016526253961287596
alabama,2021 Q1,0.00032239704362779786
alabama,2021 Q2,0.0006553272938515745
alabama,2021 Q3,0.001844411179520537
alabama,2021 Q4,0.003577871764790963
alabama,2022 Q1,0.0020689800281428194
alabama,2022 Q2,0.00031342058043692944
alabama,2022 Q3,-0.00024833470421740483
alabama,2022 Q4,0.0012142699423588106
alabama,2023 Q1,0.002504626599599602
alabama,2023 Q2,0.0015341207549403417
alabama,2023 Q3,0.0010774496317204434
alabama,2023 Q4,0.0007620076295854113
alabama,2024 Q1,0.001000718344427091
alabama,2024 Q2,0.0012115224247695917
alabama,2024 Q3,0.0009755523497808986
alabama,2024 Q4,-1.4456268185451352e-05
alabama,2025 Q1,0.0018602718434004295
alaska,1976 Q1,0.0004159877934658551
alaska,1976 Q2,0.0075187481170718344
alaska,1976 Q3,0.003079029545617784
alaska,1976 Q4,-0.00051919061734181
alaska,1977 Q1,0.0016910871268197198
alaska,1977 Q2,0.0025704431028586625
alaska,1977 Q3,0.0038491464467705536
alaska,1977 Q4,0.0036226772781436565
alaska,1978 Q1,0.0026858574453637965
alaska,1978 Q2,0.0029551856763349407
alaska,1978 Q3,0.003431873894980342
alaska,1978 Q4,0.005735817103400394
alaska,1979 Q1,0.0022582834292227036
alaska,1979 Q2,-0.00046708730638785517
alaska,1979 Q3,0.001015836987266594
alaska,1979 Q4,0.0037427950200746483
alaska,1980 Q1,0.0027933201972418775
alaska,1980 Q2,0.00023533818762677683
alaska,1980 Q3,0.0006741186555371629
alaska,1980 Q4,0.0037691231220335166
alaska,1981 Q1,0.007458783380771772
alaska,1981 Q2,0.006151847234340331
alaska,1981 Q3,0.006589512695704958
alaska,1981 Q4,0.005773737537123476
alaska,1982 Q1,0.00424835029095257
alaska,1982 Q2,0.007934131055649404
alaska,1982 Q3,0.006800463059682367
alaska,1982 Q4,0.004835753165396713
alaska,1983 Q1,0.00770493039990668
alaska,1983 Q2,0.008884124376312844
alaska,1983 Q3,0.005870415179401641
alaska,1983 Q4,0.003073505465854017
alaska,1984 Q1,0.005273655648090865
alaska,1984 Q2,0.006194148671931021
alaska,1984 Q3,0.00397895659959957
alaska,1984 Q4,0.003532918898011772
alaska,1985 Q1,0.0014714084308969921
alaska,1985 Q2,-0.0002173116175732126
alaska,1985 Q3,0.002629386691707314
alaska,1985 Q4,0.0028205991933236696
alaska,1986 Q1,0.0006688603487238579
alaska,1986 Q2,-0.0006384918515230561
alaska,1986 Q3,-0.001129806293838187
alaska,1986 Q4,-0.0011678505264082577
alaska,1987 Q1,-0.000980246123899205
alaska,1987 Q2,-0.00011867307761033914
alaska,1987 Q3,0.0018172398258567608
alaska,1987 Q4,0.0032614525942530706
alaska,1988 Q1,0.0013384225555274447
alaska,1988 Q2,0.0013540685955018006
alaska,1988 Q3,0.003597414542431269
alaska,1988 Q4,0.004021870579191011
alaska,1989 Q1,0.0048876923458699055
alaska,1989 Q2,0.0051254766640129
alaska,1989 Q3,0.001540698474071715
alaska,1989 Q4,0.00021931169389917868
alaska,1990 Q1,0.0008812504248902897
alaska,1990 Q2,0.00019225013560660495
alaska,1990 Q3,0.0005117664538707434
alaska,1990 Q4,5.7835365502708257e-05
alaska,1991 Q1,0.0002574594336119951
alaska,1991 Q2,0.000738622557386955
alaska,1991 Q3,0.0005695295097419469
alaska,1991 Q4,0.0019695818598715795
alaska,1992 Q1,0.00353926756532578
alaska,1992 Q2,0.0035672155501276226
alaska,1992 Q3,0.0025528437283277583
alaska,1992 Q4,0.002944195098904793
alaska,1993 Q1,0.0034794080061540575
alaska,1993 Q2,0.0028796332443888537
alaska,1993 Q3,0.002861051933627993
alaska,1993 Q4,0.002845201895945356
alaska,1994 Q1,0.0010845036390307132
alaska,1994 Q2,0.001080907716540347
alaska,1994 Q3,0.0020615438817511342
alaska,1994 Q4,0.0008542031291190652
alaska,1995 Q1,-0.00031641452326032954
alaska,1995 Q2,-0.00010351414047967318
alaska,1995 Q3,0.0010253376237752132
alaska,1995 Q4,0.0006903885595359593
alaska,1996 Q1,0.001439709120228579
alaska,1996 Q2,0.0026609261365308314
alaska,1996 Q3,0.0016414371502166958
alaska,1996 Q4,0.00016766373674411325
alaska,1997 Q1,0.0013762065111621407
alaska,1997 Q2,0.0024476476349977925
alaska,1997 Q3,0.001548526661865927
alaska,1997 Q4,0.0020115259321320522
alaska,1998 Q1,0.0015322434989877287
alaska,1998 Q2,-0.00013484325407901268
alaska,1998 Q3,0.0005778533935771879
alaska,1998 Q4,0.001348202103766516
alaska,1999 Q1,3.497198898424111e-05
alaska,1999 Q2,0.00043936180765413724
alaska,1999 Q3,0.001518175914115923
alaska,1999 Q4,0.00141633978223199
alaska,2000 Q1,0.0008760850801126837
alaska,2000 Q2,5.4399561003985277e-08
alaska,2000 Q3,-0.0004886676166396819
alaska,2000 Q4,0.0008963023196847016
alaska,2001 Q1,0.0012918951521851223
alaska,2001 Q2,0.0008826073159259688
alaska,2001 Q3,0.0004889311306136198
alaska,2001 Q4,-0.0001631890567926897
alaska,2002 Q1,0.00046966818489109957
alaska,2002 Q2,0.0011167459039228185
alaska,2002 Q3,0.001362661719466048
alaska,2002 Q4,0.0011510045992288997
alaska,2003 Q1,0.0008958810513051881
alaska,2003 Q2,-0.0002575480626359668
alaska,2003 Q3,0.000752117699863312
alaska,2003 Q4,0.0018486595930524707
alaska,2004 Q1,0.0010196970168541153
alaska,2004 Q2,0.001925105620394163
alaska,2004 Q3,0.0028123843676834217
alaska,2004 Q4,0.0023056012641398116
alaska,2005 Q1,0.0023704770484207494
alaska,2005 Q2,0.0022225912089750555
alaska,2005 Q3,0.0007029050285835373
alaska,2005 Q4,0.0003906817195792704
alaska,2006 Q1,0.0018697096453511215
alaska,2006 Q2,0.0020089927235810525
alaska,2006 Q3,0.0010663481668432933
alaska,2006 Q4,0.0009692760282644652
alaska,2007 Q1,-6.506066380377688e-05
alaska,2007 Q2,-0.00019431193929164703
alaska,2007 Q3,0.0013379991863361103
alaska,2007 Q4,0.0015853495207450348
alaska,2008 Q1,0.0015335805536199991
alaska,2008 Q2,0.0012120411726728915
alaska,2008 Q3,0.0001651299345886148
alaska,2008 Q4,-0.0007337614521210067
alaska,2009 Q1,-0.0011321823132168785
alaska,2009 Q2,-2.814797535525641e-05
alaska,2009 Q3,-0.0007953751582846502
alaska,2009 Q4,-0.0005447391843131552
alaska,2010 Q1,0.0009889770932872317
alaska,2010 Q2,0.0008312190481992351
alaska,2010 Q3,0.0006465740680918763
alaska,2010 Q4,0.001205798252131703
alaska,2011 Q1,0.001033016117942746
alaska,2011 Q2,0.0006042174187345465
alaska,2011 Q3,0.0017150253311802495
alaska,2011 Q4,0.0006445573372145427
alaska,2012 Q1,-0.0002478434201568606
alaska,2012 Q2,-0.00027667510480674135
alaska,2012 Q3,0.000758812367841033
alaska,2012 Q4,0.0003945520301866419
alaska,2013 Q1,-0.0007197939982168297
alaska,2013 Q2,0.00036030238199062187
alaska,2013 Q3,7.792963583149366e-05
alaska,2013 Q4,2.2701603721346036e-05
alaska,2014 Q1,0.001015647970504796
alaska,2014 Q2,0.00034203415863576225
alaska,2014 Q3,9.93959408742325e-07
alaska,2014 Q4,0.0005261182112631749
alaska,2015 Q1,-0.00038348400085552736
