State,G_score
california,2123596.2027691198
texas,1228187.0835818264
florida,905274.7736272942
illinois,758098.0789774676
pennsylvania,638940.3799912911
ohio,585101.5181724626
georgia,486829.5253847213
michigan,483768.51943074114
virginia,451988.0346077376
washington,378720.62945808686
maryland,330544.0651184424
indiana,315911.20929385617
tennessee,294282.6408684475
missouri,288345.58897635166
wisconsin,286744.9124292508
colorado,271484.1503597406
connecticut,271443.6978597726
louisiana,242335.87102291154
alabama,200207.49977329854
kentucky,185352.50652073856
oregon,177068.48173734266
iowa,158254.10325645495
oklahoma,148798.92431335142
kansas,138177.59115419924
utah,127682.77939337412
nebraska,97802.5031502048
idaho,61098.361742042005
maine,59952.81102434067
alaska,47455.77414391602
montana,40614.90322804238
