"year","month","EPUType","State","EPU_value"
2000,1,"National","AK",187.453420245398
2000,1,"State","AK",112.472052147239
2000,1,"Composite","AK",187.453420245398
2000,1,"National","AL",23.0940952711812
2000,1,"State","AL",57.735238177953
2000,1,"Composite","AL",80.8293334491342
2000,1,"National","CA",62.7814340149644
2000,1,"State","CA",53.8126577271123
2000,1,"Composite","CA",101.646131262323
2000,1,"National","CO",35.8148116966912
2000,1,"State","CO",23.8765411311275
2000,1,"Composite","CO",47.7530822622549
2000,1,"National","CT",32.6121662462997
2000,1,"State","CT",32.6121662462997
2000,1,"Composite","CT",65.2243324925993
2000,1,"National","FL",64.7700024314918
2000,1,"State","FL",33.3663648889503
2000,1,"Composite","FL",82.4345485491714
2000,1,"National","GA",97.4524733613752
2000,1,"State","GA",38.9809893445501
2000,1,"Composite","GA",126.688215369788
2000,1,"National","IA",67.2133018477736
2000,1,"State","IA",33.6066509238868
2000,1,"Composite","IA",78.4155188224025
2000,1,"National","ID",65.5873700506591
2000,1,"State","ID",65.5873700506591
2000,1,"Composite","ID",98.3810550759886
2000,1,"National","IL",31.8569559541538
2000,1,"State","IL",39.8211949426923
2000,1,"Composite","IL",67.6960314025768
2000,1,"National","IN",35.2238060032563
2000,1,"State","IN",52.8357090048845
2000,1,"Composite","IN",70.4476120065126
2000,1,"National","KS",36.8564961639206
2000,1,"State","KS",18.4282480819603
2000,1,"Composite","KS",36.8564961639206
2000,1,"National","KY",23.8034532385378
2000,1,"State","KY",71.4103597156135
2000,1,"Composite","KY",95.2138129541513
2000,1,"National","LA",76.7363112966971
2000,1,"State","LA",38.3681556483486
2000,1,"Composite","LA",95.9203891208714
2000,1,"National","MA",35.5502199100823
2000,1,"State","MA",23.7001466067216
2000,1,"Composite","MA",47.4002932134431
2000,1,"National","MD",120.956383972375
2000,1,"State","MD",80.6375893149167
2000,1,"Composite","MD",120.956383972375
2000,1,"National","ME",74.7070502261002
2000,1,"State","ME",112.06057533915
2000,1,"Composite","ME",130.737337895675
2000,1,"National","MI",64.741204178595
2000,1,"State","MI",129.48240835719
2000,1,"Composite","MI",151.062809750055
2000,1,"National","MN",117.528692571467
2000,1,"State","MN",88.1465194286003
2000,1,"Composite","MN",176.2930388572
2000,1,"National","MO",53.9797215086086
2000,1,"State","MO",8.99662025143477
2000,1,"Composite","MO",53.9797215086086
2000,1,"National","MT",0
2000,1,"State","MT",202.839872231867
2000,1,"Composite","MT",202.839872231867
2000,1,"National","NC",35.5819954199511
2000,1,"State","NC",26.6864965649633
2000,1,"Composite","NC",62.2684919849144
2000,1,"National","ND",24.4044400297896
2000,1,"State","ND",73.2133200893688
2000,1,"Composite","ND",73.2133200893688
2000,1,"National","NE",52.7470993978473
2000,1,"State","NE",118.680973645156
2000,1,"Composite","NE",131.867748494618
2000,1,"National","NH",0
2000,1,"State","NH",97.0915090305268
2000,1,"Composite","NH",97.0915090305268
2000,1,"National","NJ",59.6290104873391
2000,1,"State","NJ",53.6661094386052
2000,1,"Composite","NJ",95.4064167797426
2000,1,"National","NM",49.5410333693017
2000,1,"State","NM",173.393616792556
2000,1,"Composite","NM",173.393616792556
2000,1,"National","NY",19.3252793198821
2000,1,"State","NY",45.0923184130582
2000,1,"Composite","NY",57.9758379596462
2000,1,"National","OH",63.258204722782
2000,1,"State","OH",44.2807433059474
2000,1,"Composite","OH",88.5614866118948
2000,1,"National","OK",33.5385918866934
2000,1,"State","OK",33.5385918866934
2000,1,"Composite","OK",50.30788783004
2000,1,"National","OR",86.0700072363962
2000,1,"State","OR",43.0350036181981
2000,1,"Composite","OR",86.0700072363962
2000,1,"National","PA",57.8624863381742
2000,1,"State","PA",42.0818082459449
2000,1,"Composite","PA",78.9033904611466
2000,1,"National","RI",32.3258497355001
2000,1,"State","RI",32.3258497355001
2000,1,"Composite","RI",32.3258497355001
2000,1,"National","SC",19.9744995001233
2000,1,"State","SC",19.9744995001233
