State,G_score
california,2119755.5
texas,1225263.1
florida,905113.9
illinois,755692.8
pennsylvania,638508.2
ohio,584851.44
georgia,486924.44
michigan,483887.22
virginia,452137.22
washington,378039.53
maryland,329260.4
indiana,313466.03
tennessee,295041.66
missouri,287066.25
wisconsin,285798.9
connecticut,273038.94
colorado,271514.16
louisiana,241224.73
alabama,201118.55
kentucky,187785.58
oregon,175728.64
iowa,160487.72
oklahoma,150035.7
kansas,138376.84
utah,127956.664
nebraska,100251.6
idaho,63462.8
maine,62306.19
alaska,47882.793
montana,42884.105
